image_path,name
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample9.120.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample9.150.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample9.180.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample10.30.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample10.60.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample10.90.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample11.0.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample11.30.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample11.60.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample11.90.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample11.120.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample11.150.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample11.180.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample13.0.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample13.30.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample13.60.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample13.90.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample13.120.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample13.150.jpg,Alluvial Soil
C:\Users\Engineer's Choice\Downloads\Smart Crop Advisor\Smart Crop Advisor\Smart Crop Advisor\Dataset\Train\Alluvial soil\Sample13.180.jpg,Alluvial Soil
